description,amount,category
Chevron #123,386.84,Fuel
Movie Theater Downtown,371.76,Entertainment
Grocery Store - Purchase,54.26,Groceries
Udemy,66.52,Education
Spotify Store,174.13,Entertainment
Netflix,487.42,Entertainment
Best Buy Store,452.61,Shopping
Gym Membership Online,243.56,Fitness
Udemy Online,54.99,Education
Whole Foods - Purchase,158.5,Groceries
Phone Bill Downtown,136.17,Utilities
Spotify Online,15.61,Entertainment
AJIO,471.49,Shopping
Gaming Store Store,93.38,Entertainment
Apollo Pharmacy Downtown,111.88,Healthcare
Udemy Downtown,387.89,Education
Internet Bill,196.41,Utilities
Best Buy #123,138.7,Shopping
DMart #123,161.98,Groceries
Jio Store,421.24,Utilities
Netflix Downtown,383.82,Entertainment
Amazon Prime Store,292.23,Entertainment
Whole Foods #123,428.64,Groceries
Adidas - Purchase,92.09,Shopping
Zara Store,178.12,Shopping
Supermarket Online,62.39,Groceries
Gym Membership,32.54,Fitness
Tuition Payment Downtown,303.36,Education
Lab Test Store,105.16,Healthcare
Adidas Store,36.28,Shopping
Bus Pass - Purchase,106.95,Transportation
Concert Ticket #123,43.77,Entertainment
Yoga Studio Online,186.61,Fitness
Sports Equipment Store,86.23,Fitness
Sports Equipment Store,47.99,Fitness
Spotify Online,128.56,Entertainment
Online Course #123,324.47,Education
Book Store Downtown,226.77,Education
Amazon Prime Online,172.22,Entertainment
Book Store Online,468.1,Education
Bus Pass Downtown,163.06,Transportation
Gym Membership Downtown,326.91,Fitness
Metro Card Store,476.23,Transportation
Vodafone Store,437.09,Utilities
Food Court Online,304.3,Coffee/Dining
Target Online,473.94,Groceries
Netflix #123,490.29,Entertainment
Fuel Stop Downtown,212.06,Fuel
Uber,210.94,Transportation
Dinner #123,459.77,Coffee/Dining
Ola Cab #123,225.81,Transportation
Bharat Petroleum - Purchase,242.5,Fuel
Netflix #123,173.25,Entertainment
School Fee,495.75,Education
Online Course #123,378.53,Education
Library Store,308.95,Education
Yoga Studio Downtown,454.87,Fitness
Vodafone Online,194.66,Utilities
Dominos Store,137.08,Coffee/Dining
Parking Fee Store,303.56,Transportation
Target,332.54,Groceries
Vodafone Store,138.51,Utilities
Railway Ticket #123,245.14,Transportation
Movie Theater Downtown,89.13,Entertainment
Doctor Visit,147.4,Healthcare
Uber - Purchase,371.05,Transportation
Coursera #123,118.47,Education
Whole Foods - Purchase,209.45,Groceries
Best Buy Online,366.93,Shopping
Airtel #123,12.03,Utilities
Apple Store Online,301.25,Shopping
Electric Bill,44.75,Utilities
Book Store Downtown,481.69,Education
Costco Store,327.95,Groceries
KFC Downtown,102.99,Coffee/Dining
Jio,47.22,Utilities
Amazon Prime,412.94,Entertainment
Fitness Center #123,230.08,Fitness
Spotify,18.4,Entertainment
Vodafone Online,159.03,Utilities
Lyft Online,127.82,Transportation
Water Bill Downtown,186.01,Utilities
Netflix Store,499.4,Entertainment
Panera Bread Online,39.69,Coffee/Dining
Udemy #123,427.49,Education
Internet Bill,379.75,Utilities
Metro Card,72.39,Transportation
Walgreens Store,170.32,Healthcare
Bus Pass - Purchase,31.93,Transportation
Dominos - Purchase,484.21,Coffee/Dining
Food Court Store,137.02,Coffee/Dining
Gas Bill Downtown,69.97,Utilities
Library Downtown,398.23,Education
Reliance Fresh #123,460.4,Groceries
Chevron Online,437.6,Fuel
Panera Bread - Purchase,378.93,Coffee/Dining
Library Store,387.86,Education
Walmart Store,490.59,Groceries
Hospital Online,367.19,Healthcare
Water Bill,128.74,Utilities
AJIO Store,289.73,Shopping
Walmart Online,222.49,Groceries
Medical Center - Purchase,283.51,Healthcare
Concert Ticket #123,443.75,Entertainment
Amazon,390.48,Shopping
Railway Ticket,84.54,Transportation
CVS Pharmacy Store,88.18,Healthcare
Fuel Stop - Purchase,34.21,Fuel
Chipotle #123,425.06,Coffee/Dining
Doctor Visit #123,244.62,Healthcare
Concert Ticket,50.37,Entertainment
Indian Oil #123,472.26,Fuel
Fitness Center - Purchase,422.64,Fitness
Metro Card #123,264.9,Transportation
Udemy Downtown,432.64,Education
Swimming Pool Downtown,310.79,Fitness
Dunkin Donuts Online,38.32,Coffee/Dining
Tuition Payment,26.85,Education
Panera Bread Downtown,328.12,Coffee/Dining
HP Petrol - Purchase,99.7,Fuel
Dunkin Donuts Online,136.67,Coffee/Dining
Dental Clinic Store,304.18,Healthcare
Amazon,175.8,Shopping
Indian Oil Online,207.79,Fuel
Internet Bill - Purchase,150.73,Utilities
DMart Store,361.31,Groceries
Vodafone Store,213.33,Utilities
McDonalds Online,306.72,Coffee/Dining
Coursera Store,47.77,Education
Best Buy,348.01,Shopping
Internet Bill Downtown,225.51,Utilities
Internet Bill Store,132.38,Utilities
Phone Bill - Purchase,182.7,Utilities
DMart Downtown,84.4,Groceries
Water Bill,56.95,Utilities
Target Online,291.76,Groceries
Vodafone #123,468.27,Utilities
CVS Pharmacy Store,62.44,Healthcare
Walgreens Downtown,204.94,Healthcare
Swimming Pool Store,379.95,Fitness
Coursera Downtown,21.93,Education
School Fee #123,17.44,Education
Reliance Fresh Store,131.52,Groceries
Safeway Downtown,135.04,Groceries
Fuel Stop Downtown,189.48,Fuel
Ola Cab - Purchase,383.57,Transportation
Electric Bill #123,117.59,Utilities
Lab Test - Purchase,11.2,Healthcare
Vodafone Online,382.19,Utilities
Walgreens,11.93,Healthcare
Book Store Online,357.57,Education
Gas Bill Store,475.02,Utilities
Fuel Stop - Purchase,125.01,Fuel
Parking Fee - Purchase,413.67,Transportation
H&M - Purchase,384.46,Shopping
Food Court - Purchase,439.76,Coffee/Dining
Sports Equipment Downtown,310.99,Fitness
Sports Equipment Store,476.88,Fitness
Metro Card,23.02,Transportation
Cafe Coffee Day,197.67,Coffee/Dining
Reliance Fresh - Purchase,393.37,Groceries
Food Court #123,144.95,Coffee/Dining
Gas Bill Online,196.13,Utilities
Ola Cab Online,115.62,Transportation
Dental Clinic #123,291.6,Healthcare
Apollo Pharmacy Online,151.84,Healthcare
Flipkart Store,429.11,Shopping
Subway,183.01,Coffee/Dining
Mall Purchase Store,68.05,Shopping
Online Course - Purchase,246.0,Education
Toll Plaza Store,367.77,Transportation
Nike Store #123,341.7,Shopping
Gas Bill - Purchase,197.08,Utilities
Target #123,333.54,Groceries
Pizza Hut Downtown,169.55,Coffee/Dining
H&M Online,433.24,Shopping
Gaming Store Online,23.72,Entertainment
Mall Purchase Store,177.21,Shopping
DMart - Purchase,451.19,Groceries
Fuel Stop #123,13.53,Fuel
Udemy,378.99,Education
Fitness Center Online,431.38,Fitness
Gaming Store Store,256.42,Entertainment
Library,186.14,Education
Hospital - Purchase,407.22,Healthcare
Fitness Center Downtown,309.6,Fitness
Metro Card Store,344.51,Transportation
School Fee Online,253.72,Education
Reliance Fresh Store,419.39,Groceries
Lyft Online,158.43,Transportation
Book Store Online,112.16,Education
Metro Card Online,169.51,Transportation
Netflix Store,258.27,Entertainment
Indian Oil,127.98,Fuel
Gas Bill #123,150.95,Utilities
PVR Cinemas Online,315.72,Entertainment
Walgreens Store,5.96,Healthcare
Spotify - Purchase,110.69,Entertainment
Railway Ticket - Purchase,465.01,Transportation
Chipotle #123,375.75,Coffee/Dining
Lab Test #123,179.57,Healthcare
Parking Fee Store,357.24,Transportation
Tuition Payment Downtown,391.06,Education
Airtel Store,355.0,Utilities
Whole Foods Store,263.03,Groceries
Food Court,59.03,Coffee/Dining
Myntra #123,342.84,Shopping
Medical Center Store,152.19,Healthcare
Gas Station #123,442.31,Fuel
Walmart - Purchase,278.67,Groceries
Gym Membership Store,417.09,Fitness
Chevron - Purchase,450.35,Fuel
Nike Store #123,184.85,Shopping
Coursera - Purchase,302.43,Education
Hospital Downtown,352.01,Healthcare
Apollo Pharmacy #123,485.67,Healthcare
AJIO,499.23,Shopping
Internet Bill Store,302.55,Utilities
Best Buy Downtown,268.11,Shopping
Amazon Prime Downtown,226.79,Entertainment
Exxon Store,255.53,Fuel
Spotify Online,353.3,Entertainment
Book Store Store,354.68,Education
Panera Bread Online,498.26,Coffee/Dining
Nike Store - Purchase,477.69,Shopping
Dominos - Purchase,291.11,Coffee/Dining
Apollo Pharmacy #123,155.74,Healthcare
Myntra Online,491.48,Shopping
Reliance Fresh Downtown,150.26,Groceries
Apollo Pharmacy #123,360.83,Healthcare
Fuel Stop,460.73,Fuel
Netflix Store,19.77,Entertainment
Food Court Downtown,21.39,Coffee/Dining
Vodafone,486.57,Utilities
Lunch Downtown,351.95,Coffee/Dining
BP Station #123,473.22,Fuel
Whole Foods - Purchase,471.12,Groceries
Tuition Payment Store,483.06,Education
Medical Center Store,443.18,Healthcare
Fuel Stop #123,212.04,Fuel
